0.371	7.083e-4
0.746	7.083e-4
1.388	0.002
1.960	0.018
2.489	0.039
2.865	0.080
3.177	0.117
3.470	0.148
3.726	0.186
3.949	0.233
4.137	0.269
4.357	0.300
4.542	0.334
4.732	0.368
4.885	0.399
5.003	0.419
5.194	0.451
5.375	0.483
5.615	0.524
5.910	0.559
6.141	0.588
6.490	0.628
6.721	0.666
7.214	0.708
7.518	0.741
7.983	0.772
8.382	0.799
9.237	0.831
10.156	0.854
11.152	0.871
12.381	0.881
13.764	0.885
15.556	0.886
17.184	0.888
18.640	0.889
20.054	0.889
21.712	0.889
23.277	0.889
25.336	0.888
27.310	0.883
29.030	0.881
30.583	0.876
32.233	0.859
33.566	0.837
34.599	0.811
35.523	0.783
36.244	0.755
36.937	0.724
37.512	0.692
38.246	0.658
38.793	0.627
39.301	0.596
39.976	0.556
40.498	0.524
40.947	0.494
41.518	0.459
42.053	0.425
42.446	0.398
42.804	0.372
43.280	0.340
43.785	0.305
44.387	0.272
45.090	0.232
45.903	0.197
46.681	0.163
47.597	0.129
48.354	0.103
49.356	0.074
50.353	0.055
51.284	0.040
52.414	0.028
53.439	0.018
54.786	0.011
56.263	0.003
57.762	0.001
58.346	0.001
58.962	4.296e-4
59.944	0.002
61.233	5.689e-4
63.005	8.127e-5
64.653	8.127e-5
66.189	5.109e-4
67.800	5.109e-4
68.918	5.109e-4
